fr,de,,,,,,,,,
un,eins,,,,,,,,,
deux,zwei,,,,,,,,,
trois,drei,,,,,,,,,
quatre,vier,,,,,,,,,
cinq,fünf,,,,,,,,,
six,sechs,,,,,,,,,
sept,sieben,,,,,,,,,
huit,acht,,,,,,,,,
neuf ,neun,,,,,,,,,
dix,zehn,,,,,,,,,
onze,elf,,,,,,,,,
douze,zwölf,,,,,,,,,
treize,dreizehn,,,,,,,,,
quatorze,vierzehn,,,,,,,,,
quince,fünfzehn,,,,,,,,,
seize,sechzehn,,,,,,,,,
dix-sept,siebzehn,,,,,,,,,
dix-huit,achtzehn,,,,,,,,,
dix-neuf,neunzehn,,,,,,,,,
vingt,zwanzig,,,,,,,,,
vingt et un,einundzwanzig,,,,,,,,,
vingt-deux,zweiundzwanzig,,,,,,,,,
vingt-trois,dreiundzwanzug,,,,,,,,quatre-vingt-dix-neuf,neunundneunzig
vingt-quatre,vierundzwanzig,,,,,,,,un tiers,ein drittel
vingt-cinq,fünfundzwanzig,,,,,,,,,
vingt-six,sechsundzwanzig,,,,,,,,,
vingt-sept,siebenundzwanzig,,,,,,,,,
vingt-huit,achtundzwanzig,,,,,,,,,
vingt-neuf,neunundzwanzig,,,,,,,,,
trente,dreißig,,,,,,,,,
quarante,vierzig,,,,,,,,,
cinquante, fünfzig,,,,,,,,,
soixante, sechzig,,,,,,,,,
soixante-dix,siebzig,,,,,,,,,
soixante et onze,einundsiebzig,,,,,,,,,
soixante-douze,72,,,,,,,,,
soixante-treize,73,,,,,,,,,
soixante-quatorze,74,,,,,,,,,
soixante-quinze,75,,,,,,,,,
soixante-seize,76,,,,,,,,,
soixante-dix-sept,77,,,,,,,,,
soixante-dix-huit,78,,,,,,,,,
soixante-dix-neuf,79,,,,,,,,,
quatre-vingts,80,,,,,,,,,
quatre-vingts-un,81,,,,,,,,,
quatre-vingt-deux,82,,,,,,,,,
quatre-vingt-trois,83,,,,,,,,,
quatre-vingt-quatre,84,,,,,,,,,
quatre-vingt-cinq,85,,,,,,,,,
quatre-vingt-six,86,,,,,,,,,
quatre-vingt-sept,87,,,,,,,,,
quatre-vingt-huit,88,,,,,,,,,
quatre-vingt-neuf,89,,,,,,,,,
quatre-vingt-dix neunzig,90,,,,,,,,,
quatre-vingt-onze,91,,,,,,,,,
quatre-vingt-douze,92,,,,,,,,,
quatre-vingt-treize,93,,,,,,,,,
quatre-vingt-quatorze,94,,,,,,,,,
quatre-vingt-quinze,95,,,,,,,,,
quatre-vingt-seize,96,,,,,,,,,
quatre-vingt-dix-sept,97,,,,,,,,,
quatre-vingt-dix-huit,98,,,,,,,,,
quatre-vingt-dix-neuf,99,,,,,,,,,
cent,100,,,,,,,,,
cent dix,110,,,,,,,,,
deux cents,200,,,,,,,,,
deux cent cinquante,250,,,,,,,,,
trois cents,300,,,,,,,,,
mille,1000,,,,,,,,,
dix mille,10000,,,,,,,,,
cent mille,100000,,,,,,,,,
deux cent mille,200000,,,,,,,,,
un million,1000000,,,,,,,,,
dix millions,10000000,,,,,,,,,
un milliard,1000000000,,,,,,,,,
deux milliards,10000000000,,,,,,,,,
un demi,ein Halbes,,,,,,,,,
la moitié,die Hälfte,,,,,,,,,
un tiers,ein Drittel,,,,,,,,,
deux tiers,zwei Drittel,,,,,,,,,
un quart,ein Viertel,,,,,,,,,
trois quarts,drei Viertel,,,,,,,,,
un cinquième,ein Fünftel,,,,,,,,,
un sixième,ein Sechstel,,,,,,,,,
un douzième,ein Zwölftel,,,,,,,,,
un vingtième,ein Zwanzigstel,,,,,,,,,
onze vigntièmes,elf Zwanzigstel,,,,,,,,,
une demi-heure,eine halbe Stunde,,,,,,,,,
une heure et demie,anderthalb Stunden,,,,,,,,,
